[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
[18/09/2020 00:09:39]{'temperature_inside': 27.4, 'temperature_outside': 26.0642578125, 'pressure_inside': 965.98, 'pressure_outside': 958.1360444015745, 'humidity_inside': 0, 'humidity_outside': 52.49232200084605, 'rotation_x': -0.5517256601824804, 'rotation_y': 0.009969399935864081, 'rotation_z': 1.8473282442748091, 'gps_x': 0, 'gps_y': 0, 'time': 1600380579.7281787}
