[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
[18/09/2020 00:13:18]{'temperature_inside': 27.4, 'temperature_outside': 26.05390625, 'pressure_inside': 965.97, 'pressure_outside': 958.0217105944267, 'humidity_inside': 0, 'humidity_outside': 52.76422013102157, 'rotation_x': -0.04543436688253678, 'rotation_y': -0.055277990801342373, 'rotation_z': 2.0763358778625953, 'gps_x': 0, 'gps_y': 0, 'time': 1600380798.8073578}
